Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
IMR-INDUSTRIALESUD S.P.A.;https://www.imr-industries.com;https://www.imr-industries.com/en-gb/thegroup.aspx.html;https://imr.bladecommunication.it/wp/chi-siamo/;https://www.simest.it/storie-simest/simest-italia-imr/;https://www.ilsole24ore.com/art/imr-industrialesud-rileva-caterpillar-AEOOsVFB
KASANOVA S.P.A.;https://www.kasanova.com/it;https://www.kasanova.com/it/prodotti-kasanova.html;https://www.linkedin.com/company/kasanova-spa;https://www.kasanova.com/it/just-now;https://www.kasanova.com/it/stores/kasanova-milano-sarpi-via-paolo-sarpi-38
GELSIA S.R.L.;https://www.gelsia.it;https://www.gelsia.it/contatti/;https://www.gelsia.it/chi-siamo/;https://www.gelsia.it/?search=OK;https://areaclienti.gelsia.it/public/prontoweb/customer-home
ROVAGNATI SPA;https://www.rovagnati.it;https://www.rovagnati.it/it/azienda/chi-siamo;https://it.wikipedia.org/wiki/Rovagnati;https://www.rovagnati.com;https://www.rovagnati.it/it/azienda/storia
GIOCHI PREZIOSI S.P.A.;https://giochipreziosi.it;https://it.wikipedia.org/wiki/Gruppo_Giochi_Preziosi;https://en.wikipedia.org/wiki/Giochi_Preziosi;https://it.linkedin.com/company/giochi-preziosi;https://it-it.facebook.com/giochipreziosi/
RITRAMA S.P.A.;https://selfadhesives.fedrigoni.com/it/brand/ritrama/;https://selfadhesives.fedrigoni.com/it/;https://selfadhesives.fedrigoni.com/brand/ritrama/;https://bebeez.it/private-equity/fedrigoni-perfeziona-lacquisizione-degli-autoadesivi-ritrama-arriva-16-mld-euro-ricavi/;https://www.industrychemistry.com/aziende/fedrigoni-spa-ex-ritrama-spa/
GALFIN S.R.L.;https://www.galfin.it;https://www.ufficiocamerale.it/5833/galfin-srl;https://www.informazione-aziende.it/Azienda_GALFIN-SRL-55E50;https://www.dnb.com/business-directory/company-profiles.galfin_srl.ca7bc64480fb5197c018d6e0e4f40cac.html;https://www.visura.pro/imprese/842722642-galfin-s-r-l.html
PHILIPS S.P.A.;https://www.philips.it;https://it.wikipedia.org/wiki/Philips;https://www.philips.it/c-e/ho/phbenvenuto.html;https://www.philips.it/c-w/support-home/support-contact-page.html;https://www.aireradio.org/enciclopedia/philips-spa/
MOLTENI & C.- S.P.A.;https://www.molteni.it/it/;https://www.molteni.it;https://www.molteni.it/it/contact;https://www.moltenigroup.com/it;https://www.molteni.it/it/landing/inspiration?gad_source=1
ARCO SPEDIZIONI S.P.A.;https://www.arcospedizioni.it;https://www.arco.it;https://www.arcospedizioni.it/en/;https://www.arcospedizioni.it/filiali/;https://www.ufficiocamerale.it/4830/arco-spedizioni-spa
LOMBARDA MOTORI S.P.A.;https://www.lombardamotori.it;https://www.lombardamotori.it/dove-siamo/;https://www.lombardamotori.it/audi/;https://www.lombardamotori.it/chi-siamo/;https://seat.lombardamotori.it
EI TOWERS S.P.A.;https://www.eitowers.it;https://it.wikipedia.org/wiki/EI_Towers;https://www.eitowers.it/en/;https://it.linkedin.com/company/ei-towers-s.p.a.;https://www.ilsole24ore.com/art/rai-way-allunga-piano-governo-manovra-fusione-ei-towers-AFzEEvCD
