72;NEXT HARDWARE & SOFTWARE S.P.A.;163.210.130;22,85;;Cesano Maderno;C;Commercio all'ingrosso;;;;;;Maria Pistillo;;;;
73;EUROCHEM AGRO S.P.A.;161.626.900;43,78;;Cesano Maderno;O;Chimica e affini;;;;;;;;;;
74;TRILLIUM PUMPS ITALY S.P.A. *;161.043.336;-3,97;;Nova Milanese;C;Macchinari;;;;;Giovanna Sereni;Alessandro Valle;;;;
75;WORTHINGTON S.R.L. (1);157.465.872;-260,00;;Desio;O-IAS;Macchinari;;Paolo Vacis;;;;Sergio Spirito;;;;
76;FRIESLANDCAMPINA ITALY S.R.L.;155.802.928;13,59;;Agrate Brianza;O;Commercio all'ingrosso;;;Emanuela Tesselli;;;Alessandro Belloli;;;;
77;ECOLAB HOLDING ITALY S.R.L.;154.760.393;6,08;;Vimercate;C;Farmaceutica;;Giuseppe Arena;Valentina Fontana;;Paola Riva;;;;;
78;FINCONS S.P.A.;151.643.311;14,98;;Vimercate;O;Attività informatiche;;Giuliano Altamura;Nicolò Colombo;Luca Panzeri;Bruno Stella;Amir Lavi;;;;
79;OCV ITALIA S.R.L.;149.040.947;11,18;;Besana in Brianza;O;Altre attività manifatturiere;;Flavio Striseo;;;Antonino Messina;;;;;
80;TAGLIABUE GOMME GROSS S.R.L.;146.109.331;13,10;;Villasanta;O;Gomma-plastica;;Carlo Tagliabue;Alessio Vanin;Fausto Consonni;;Antonio Battistella;;;;
81;ROTTAPHARM S.P.A.;139.271.064;3,16;;Monza;O;Farmaceutica;;Lucio Rovati;Lucia Terenzi;;Antonella Ravasio;;;;;
82;BIANALISI S.P.A. *;139.057.000;1,76;;Lissone;C-IAS;Sanità;;Giovanni Giannolli;Angela Muto;Gianluca Maggiore;Domenico Scalia;Fabio Bureca;;;;
83;GRUPPO VRV S.R.L. (2);137.671.204;n.d.;;Ornago;C;Prodotti in metallo;;Alfonso Comelli;;Alberto Masiero;Erika Baldassarri;;;;;
84;BORGWARNER MORSE SYSTEMS ITALY S.R.L.;136.980.531;6,55;;Arcore;O;Automotive;;Giorgio Baccolis;;Matteo Gudici;Francesco Sonnati;Stefano Resnati;;;;
85;A.P.S. AROSIO S.P.A.;135.665.123;41,99;;Monza;C;Commercio all'ingrosso;;;;;Sara Furlani;;;;;
86;PARA' S.P.A.;132.608.809;8,97;;Sovico;O;Legno e arredo;;Marco Parravicini;Luca Bottaro;;Alessandro Aldrovandi;Davide Colombo;;;;
87;QVC ITALIA S.R.L.;131.945.777;-46,89;;Brugherio;O;Commercio al dettaglio;;;;;;;;;;
88;SOLENIS ITALIA S.R.L.;131.769.409;5,05;;Busnago;O;Chimica e affini;;;;;;;;;;
89;RO.LA.FER. S.P.A.;128.650.962;19,78;;Triuggio;O;Commercio all'ingrosso;;;;;;;;;;
90;IMS S.P.A.;127.924.006;17,81;;Arcore;O;Commercio all'ingrosso;;;;;;;;;;
91;WATTS INDUSTRIES ITALIA S.R.L.;127.394.262;12,26;;Biassono;O;Macchinari;;;;;;;;;;
92;BRIANZA PLASTICA SPA;127.107.281;16,04;;Carate Brianza;O;Gomma-plastica;;;;;;;;;;
93;DELL'ORTO S.P.A.;127.103.204;11,91;;Seregno;C;Metallurgia;;;;;;;;;;
94;PEG PEREGO S.P.A.;127.074.263;0,52;;Arcore;C;Altre attività manifatturiere;;;;;;;;;;
95;BRIANZACQUE S.R.L.;126.875.410;1,06;;Monza;O;Utilities;;;;;;;;;;
96;CORDEN PHARMA S.P.A.;124.238.007;31,09;;Caponago;O;Farmaceutica;;;;;;;;;;
97;GRUPPO APROCHIMIDE;124.060.241;13,91;;Muggiò;C;Commercio all'ingrosso;;;;;;;;;;
98;CALVI HOLDING S.P.A.;121.903.614;11,18;;Agrate Brianza;C;Metallurgia;;;;;;;;;;
99;BOFFI S.P.A.;121.184.487;14,30;;Lentate sul Seveso;C;Legno e arredo;;;;;;;;;;
100;BBB S.P.A.;120.968.575;33,61;;Monza;O;Commercio al dettaglio;;;;;;;;;;
101;CHG-MERIDIAN ITALIA SPA;119.973.216;18,87;;Vimercate;O;Attività informatiche;;;;;;;;;;
102;KOCH-GLITSCH ITALIA S.R.L.;119.760.225;-0,96;;Vimercate;O;Prodotti in metallo;;;;;;;;;;
103;ALLIANCE MEDICAL ITALIA S.R.L.;117.465.091;-7,09;;Lissone;C;Attività professionali;;;;;;;;;;
104;SALCHI METALCOAT S.R.L.;115.769.020;1,61;;Burago di Molgora;O;Chimica e affini;;;;;;;;;;
105;BOLDROCCHI SRL;115.093.616;3,13;;Biassono;C;Macchinari;;;;;;;;;;
106;MANIFATTURA MARIO COLOMBO & C. S.P.A.;115.084.499;3,38;;Monza;O;Sistema moda;;;;;;;;;;
107;VAMP TECHNOLOGIES S.P.A.;113.744.732;10,55;;Busnago;C;Chimica e affini;;;;;;;;;;
108;ROLLON S.P.A.;112.268.298;16,43;;Vimercate;O;Prodotti in metallo;;;;;;;;;;
109;SKECHERS USA ITALIA S.R.L.;109.742.590;21,59;;Vimercate;O;Commercio all'ingrosso;;;;;;;;;;
110;D.M.B. S.R.L.;107.970.503;3,51;;Monza;C;Commercio all'ingrosso;;;;;;;;;;
111;IMPRESA SANGALLI GIANCARLO & C. S.R.L.;106.517.577;-4,52;;Monza;C;Utilities;;;;;;;;;;
112;ISA S.P.A.;102.846.528;33,42;;Lentate sul Seveso;O;Sistema moda;;;;;;;;;;
113;DIVERSEY S.P.A.;102.762.749;5,79;;Monza;C;Commercio all'ingrosso;;;;;;;;;;
114;BRUNO PRESEZZI S.P.A.;100.133.828;8,68;;Burago di Molgora;C;Prodotti in metallo;;;;;;;;;;
115;VENUS SPA;99.826.938;21,88;;Monza;O;Commercio al dettaglio;;;;;;;;;;
116;HONEYWELL S.R.L.;99.302.035;1,87;;Monza;O;Edilizia;;;;;;;;;
117;SMITH & NEPHEW SRL;97.421.679;9,28;;Agrate Brianza;O;Commercio all'ingrosso;;;;;;;;;;
118;CHATEAU D'AX S.P.A.;96.808.000;15,58;;Lentate sul Seveso;C;Legno e arredo;;;;;;;;;;
119;FLEXFORM - S.P.A.;96.010.072;16,61;;Meda;O;Legno e arredo;;;;;;;;;;
120;CISETTE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;94.339.736;0,14;;Monza;O;Attività professionali;;;;;;;;;;
121;CO.PA.DA. S.R.L.;94.002.908;9,30;;Limbiate;C;Carta e stampati;;;;;;;;;;
122;STAR INDUSTRIALE S.R.L.;93.909.473;7,18;;Agrate Brianza;O;Alimentari e bevande;;;;;;;;;;
123;LA.M.PLAST DI ALDO REDAELLI & C SRL;93.723.640;12,63;;Giussano;O;Chimica e affini;;;;;;;;;;
124;PRESEZZI EXTRUSION S.P.A.;93.561.684;30,33;;Vimercate;C;Macchinari;;;;;;;;;;
125;DEVERO GROUP SRL;92.852.380;14,61;;Vimercate;C;Edilizia;;;;;;;;;;
126;CGT EDILIZIA S.P.A.;92.116.475;22,57;;Varedo;O;Commercio all'ingrosso;;;;;;;;;;
127;CP COLOMBO SRL;91.619.365;3,00;;Brugherio;C;Metallurgia;;;;;;;;;;
128;INTESA SANPAOLO RENT FORYOU S.P.A.;89.477.505;9,45;;Bernareggio;O;Commercio all'ingrosso;;;;;;;;;;
129;MICRON SEMICONDUCTOR ITALIA S.R.L.;89.076.000;3,83;;Vimercate;O;Elettronica;;;;;;;;;;
130;CMO GROUP S.R.L.;88.975.030;5,32;;Cesano Maderno;C;Prodotti in metallo;;;;;;;;;;
131;SETOA ITALIA S.P.A.;88.614.173;24,27;;Lissone;O;Trasporti e logistica;;;;;;;;;;
132;NICKEL AND CO S.R.L.;88.529.737;7,78;;Monza;O;Commercio all'ingrosso;;;;;;;;;;
133;EUR - ACCIAI S.P.A.;88.326.472;9,51;;Usmate Velate;O;Metallurgia;;;;;;;;;;
134;TELEFLEX MEDICAL S.R.L.;87.566.750;16,56;;Varedo;O;Farmaceutica;;;;;;;;;;
135;MICYS COMPANY S.P.A.;86.836.759;3,27;;Monza;C;Chimica e affini;;;;;;;;;;
136;CEM AMBIENTE S.P.A.;86.573.377;4,52;;Cavenago di Brianza;O;Utilities;;;;;;;;;;
137;G. VILLA S.R.L.;86.359.763;1,76;;Monza;O;Commercio al dettaglio;;;;;;;;;;
138;ELESA S.P.A.;85.913.203;13,62;;Monza;O;Gomma-plastica;;;;;;;;;;
139;BIZERBA SOCIETA' PER AZIONI;84.555.757;8,41;;Desio;O;Macchinari;;;;;;;;;;
140;PREVIERO N. - S.R.L.;84.227.345;32,92;;Lissone;O;Macchinari;;;;;;;;;;
141;MEREGALLI GIUSEPPE S.P.A.;83.942.883;17,93;;Monza;C;Commercio all'ingrosso;;;;;;;;;;
142;URSA ITALIA S.R.L.;83.620.452;37,80;;Agrate Brianza;O;Gomma-plastica;;;;;;;;;;
143;BIMAN S.R.L.;82.749.684;10,84;;Carate Brianza;C;Servizi specializzati;;;;;;;;;;
144;WEG ITALIA S.R.L.;81.808.077;1,41;;Lissone;O;Commercio all'ingrosso;;;;;;;;;;
145;FIDIM SRL;81.216.000;-4,43;;Monza;C-IAS;Attività immobiliari;;;;;;;;;;
146;MEDA PHARMA S.P.A.;81.156.522;0,02;;Monza;O;Farmaceutica;;;;;;;;;;
147;AXALTA COATING SYSTEMS ITALY SRL;81.110.570;8,53;;Cavenago di Brianza;O;Chimica e affini;;;;;;;;;;
148;BAXTER S.R.L.;80.235.660;23,15;;Meda;O;Commercio al dettaglio;;;;;;;;;;
149;COMMSCOPE ITALY S.R.L.;79.305.460;7,46;;Agrate Brianza;O;Apparecchiature elettriche;;;;;;;;;;
150;E.P.M. S.P.A. **;78.815.853;4,77;;Agrate Brianza;O;Gomma-plastica;;;;;;;;;;
151;GNOSIS S.P.A.;78.553.873;30,32;;Desio;O;Chimica e affini;;;;;;;;;;
152;MALBERTI HOLDING S.P.A.;78.400.116;6,48;;Desio;C;Altre attività manifatturiere;;;;;;;;;;
153;CEVA SALUTE ANIMALE S.P.A.;77.683.832;21,30;;Agrate Brianza;O;Chimica e affini;;;;;;;;;;
154;KSB ITALIA S.P.A.;77.591.616;5,49;;Concorezzo;O;Macchinari;;;;;;;;;;
155;FLAME SPRAY S.P.A.;75.924.545;8,97;;Roncello;C;Prodotti in metallo;;;;;;;;;;
156;VEOS S.P.A. **;75.850.245;25,00;;Monza;O;Utilities;;;;;;;;;
157;GIORGETTI S.P.A.;74.868.166;5,81;;Meda;C;Legno e arredo;;;;;;;;;;
158;CRIPPACAMPEGGIO S.R.L.;74.627.501;14,33;;Carate Brianza;C;Legno e arredo;;;;;;;;;;
159;ATALA S.P.A.;72.911.950;34,09;;Monza;O;Altre attività manifatturiere;;;;;;;;;;
160;ISTITUTI CLINICI ZUCCHI S.P.A.;72.306.542;1,43;;Monza;O;Sanità;;;;;;;;;;
161;VEFER S.P.A.;72.268.595;1,19;;Lissone;O;Gomma-plastica;;;;;;;;;;
162;SPIRAX - SARCO S.R.L. *;72.110.482;17,84;;Nova Milanese;C;Macchinari;;;;;;;;;;
163;M.E. S.P.A.;72.030.639;3,04;;Vimercate;C;Servizi specializzati;;;;;;;;;;
164;CAVOTEC SPECIMAS SPA;71.996.324;9,37;;Nova Milanese;O;Macchinari;;;;;;;;;;
